Tukholma=T;Oslo;Kööpenhamina;Helsinki
13;16=T;22;18
Kiina;USA;Australia;Brasilia=T
Pakistan;Indonesia=T;Nigeria;Yhdysvallat
Tonava;Ural;Volga=T;Rein
Kemijoki=T;Tornionjoki;Tenojoki;Iijoki
Phoenix;Houston=T;Chicago;San Diego
New York;Texas;Kalifornia=T;Florida
Buenos Aires;São Paulo=T;Rio de Janeiro;Lima
Galdhøpiggen=T;Kebnekaise;Halti;Ráisduattarháldi
Saimaa;Ääninen;Laatokka=T;Peipsijärvi
Lontoo;Berliini;Madrid;Moskova=T
Gent;Antwerpen=T;Charleroi;Brysseli
Loire;Seine;Rein=T;Rhône
Quito=T;Santiago;Asunción;La Paz
Irbid;Abdullah II;Amman=T;Al Mafraq
Episentrumi;Seismometri;Hyposentrumi=T;Seisogrammi
Troposfääri=T;Mesosfääri;Stratosfääri;Eksosfääri
Astenosfääri;Mesosfääri;Litosfääri=T;Elmosfääri
Sveitsi;Itävalta;Slovenia;Albania=T
Euro;Zloty=T;Korona;Slowskyc
Keltainenjoki;Amur;Jangtse=T;Länsijoki(Xī Jiāng)
